device,loop,zone,description,subtype,type,name,locationId
49,14,82,IRD-ICG-L05-FCG-111 MGF IT4,x02,OPT,L14 - D49 - Z82 - IRD-ICG-L05-FCG-111 MGF IT4 - OPT,IRD-ICG-L05-FCG-111
50,14,82,IRD-ICG-L05-AMG-134 FEMALE TOLIET,x02,OPT,L14 - D50 - Z82 - IRD-ICG-L05-AMG-134 FEMALE TOLIET - OPT,IRD-ICG-L05-AMG-134
51,14,82,IRD-ICG-L05-AMG-133 MALE TOLIET,x02,OPT,L14 - D51 - Z82 - IRD-ICG-L05-AMG-133 MALE TOLIET - OPT,IRD-ICG-L05-AMG-133
52,14,83,IRD-ICG-L05-SEL-13 ELEC CUPBOARD,x02,OPT,L14 - D52 - Z83 - IRD-ICG-L05-SEL-13 ELEC CUPBOARD - OPT,IRD-ICG-L05-SEL-13
53,14,82,IRD-ICG-L05-FCG-112 MGF IT1-4,x02,OPT,L14 - D53 - Z82 - IRD-ICG-L05-FCG-112 MGF IT1-4 - OPT,IRD-ICG-L05-FCG-112
54,14,82,IRD-ICG-L05-FCG-112 MGF IT4,x02,OPT,L14 - D54 - Z82 - IRD-ICG-L05-FCG-112 MGF IT4 - OPT,IRD-ICG-L05-FCG-112
55,14,82,IRD-ICG-L05-FCG-112 MGF IT1-4,x02,OPT,L14 - D55 - Z82 - IRD-ICG-L05-FCG-112 MGF IT1-4 - OPT,IRD-ICG-L05-FCG-112
56,14,82,IRD-ICG-L05-FCG-112 MGF IT4,x02,OPT,L14 - D56 - Z82 - IRD-ICG-L05-FCG-112 MGF IT4 - OPT,IRD-ICG-L05-FCG-112
57,14,93,IRD-IT4-L05M-SFS-01 FIRE CUPBOARD,x02,OPT,L14 - D57 - Z93 - IRD-IT4-L05M-SFS-01 FIRE CUPBOARD - OPT,IRD-IT4-L05M-SFS-01
58,14,93,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D58 - Z93 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
59,14,93,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D59 - Z93 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
60,14,93,IRD-IT4-L05M-SEL-03 ELEC CUPBOARD,x02,OPT,L14 - D60 - Z93 - IRD-IT4-L05M-SEL-03 ELEC CUPBOARD - OPT,IRD-IT4-L05M-SEL-03
61,14,93,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D61 - Z93 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
62,14,93,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D62 - Z93 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
63,14,93,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D63 - Z93 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
64,14,94,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D64 - Z94 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
65,14,94,IRD-ICG-L05M-SIC-11 COMM CUPBOARD,x02,OPT,L14 - D65 - Z94 - IRD-ICG-L05M-SIC-11 COMM CUPBOARD - OPT,IRD-ICG-L05M-SIC-11
66,14,94,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D66 - Z94 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
67,14,94,IRD-ICG-L05M-BCS-24 TECH OFFICE,x02,OPT,L14 - D67 - Z94 - IRD-ICG-L05M-BCS-24 TECH OFFICE - OPT,IRD-ICG-L05M-BCS-24
68,14,94,IRD-ICG-L05M-PEL-02 GAMING UPS,x02,OPT,L14 - D68 - Z94 - IRD-ICG-L05M-PEL-02 GAMING UPS - OPT,IRD-ICG-L05M-PEL-02
69,14,94,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D69 - Z94 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
70,14,94,IRD-ICG-L05M-SIC-20 COMM CUPBOARD,x02,OPT,L14 - D70 - Z94 - IRD-ICG-L05M-SIC-20 COMM CUPBOARD - OPT,IRD-ICG-L05M-SIC-20
71,14,94,IRD-ICG-L05M-SIC-09 COMM CUPBOARD,x02,OPT,L14 - D71 - Z94 - IRD-ICG-L05M-SIC-09 COMM CUPBOARD - OPT,IRD-ICG-L05M-SIC-09
72,14,94,IRD-ICG-L05M-BTM-01 SERVICE ROOM,x02,OPT,L14 - D72 - Z94 - IRD-ICG-L05M-BTM-01 SERVICE ROOM - OPT,IRD-ICG-L05M-BTM-01
73,14,93,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D73 - Z93 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
74,14,93,IRD-IT4-L05M-SEL-02 ELEC CUPBOARD,x02,OPT,L14 - D74 - Z93 - IRD-IT4-L05M-SEL-02 ELEC CUPBOARD - OPT,IRD-IT4-L05M-SEL-02
75,14,94,IRD-ICG-L05M-BCS-15 SURV VIEWING,x02,OPT,L14 - D75 - Z94 - IRD-ICG-L05M-BCS-15 SURV VIEWING - OPT,IRD-ICG-L05M-BCS-15
76,14,94,IRD-IT4-L05M-SEL-05 ELEC CUPBOARD,x02,OPT,L14 - D76 - Z94 - IRD-IT4-L05M-SEL-05 ELEC CUPBOARD - OPT,IRD-IT4-L05M-SEL-05
77,14,94,IRD-ICG-L05M-BCS-17 SURV CORRIDOR,x02,OPT,L14 - D77 - Z94 - IRD-ICG-L05M-BCS-17 SURV CORRIDOR - OPT,IRD-ICG-L05M-BCS-17
78,14,94,IRD-ICG-L05M-BCS-12 SURV OFFICE,x02,OPT,L14 - D78 - Z94 - IRD-ICG-L05M-BCS-12 SURV OFFICE - OPT,IRD-ICG-L05M-BCS-12
79,14,94,IRD-ICG-L05M-BCS-13 SURV UTILITY,x02,OPT,L14 - D79 - Z94 - IRD-ICG-L05M-BCS-13 SURV UTILITY - OPT,IRD-ICG-L05M-BCS-13
80,14,94,IRD-ICG-L05M-BCS-16 SURV CONTROL,x02,OPT,L14 - D80 - Z94 - IRD-ICG-L05M-BCS-16 SURV CONTROL - OPT,IRD-ICG-L05M-BCS-16
81,14,94,IRD-ICG-L05M-BCS-11 SEC CONTROL,x02,OPT,L14 - D81 - Z94 - IRD-ICG-L05M-BCS-11 SEC CONTROL - OPT,IRD-ICG-L05M-BCS-11
82,14,94,IRD-ICG-L05M-BCS-12 SEC MUSTER,x02,OPT,L14 - D82 - Z94 - IRD-ICG-L05M-BCS-12 SEC MUSTER - OPT,IRD-ICG-L05M-BCS-12
83,14,94,IRD-ICG-L05M-BCS-12 SEC MUSTER,x02,OPT,L14 - D83 - Z94 - IRD-ICG-L05M-BCS-12 SEC MUSTER - OPT,IRD-ICG-L05M-BCS-12
84,14,94,IRD-ICG-L05M-BCS-12 SEC MEETING,x02,OPT,L14 - D84 - Z94 - IRD-ICG-L05M-BCS-12 SEC MEETING - OPT,IRD-ICG-L05M-BCS-12
85,14,93,IRD-ICG-L05M- COLD SHELL,x02,OPT,L14 - D85 - Z93 - IRD-ICG-L05M- COLD SHELL - OPT,IRD-ICG-L05M-
86,14,93,IRD-ICG-L05M- COLD SHELL,x02,OPT,L14 - D86 - Z93 - IRD-ICG-L05M- COLD SHELL - OPT,IRD-ICG-L05M-
87,14,93,IRD-ICG-L05M- COLD SHELL,x02,OPT,L14 - D87 - Z93 - IRD-ICG-L05M- COLD SHELL - OPT,IRD-ICG-L05M-
88,14,93,IRD-ICG-L05M- COLD SHELL,x02,OPT,L14 - D88 - Z93 - IRD-ICG-L05M- COLD SHELL - OPT,IRD-ICG-L05M-
89,14,93,IRD-ICG-L05M- COLD SHELL,x02,OPT,L14 - D89 - Z93 - IRD-ICG-L05M- COLD SHELL - OPT,IRD-ICG-L05M-
90,14,93,IRD-ICG-L05M- COLD SHELL,x02,OPT,L14 - D90 - Z93 - IRD-ICG-L05M- COLD SHELL - OPT,IRD-ICG-L05M-
91,14,93,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D91 - Z93 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
92,14,93,IRD-ICG-L05M-CSV-01 BOH CORRIDOR,x02,OPT,L14 - D92 - Z93 - IRD-ICG-L05M-CSV-01 BOH CORRIDOR - OPT,IRD-ICG-L05M-CSV-01
95,14,3401,IRD-ICG-L05M-BCS-11 SEC CONTROL,x11,SOUND,L14 - D95 - Z3401 - IRD-ICG-L05M-BCS-11 SEC CONTROL - SOUND,IRD-ICG-L05M-BCS-11
96,14,3401,IRD-ICG-L05M-SIC-19 SECURITY TRIP,a03,SEC,L14 - D96 - Z3401 - IRD-ICG-L05M-SIC-19 SECURITY TRIP - SEC,IRD-ICG-L05M-SIC-19
102,14,81,IRD-ICG-L05-FCG-111 MGF IT3-4,x02,OPT,L14 - D102 - Z81 - IRD-ICG-L05-FCG-111 MGF IT3-4 - OPT,IRD-ICG-L05-FCG-111
103,14,81,IRD-ICG-L05-FCG-111 MGF IT3-4,x02,OPT,L14 - D103 - Z81 - IRD-ICG-L05-FCG-111 MGF IT3-4 - OPT,IRD-ICG-L05-FCG-111
104,14,907,TOP OF LIFT I2,x02,OPT,L14 - D104 - Z907 - TOP OF LIFT I2 - OPT,
1,15,96,IRD-IT1-L06-SIC-01 COMMS CUPBOARD,x02,OPT,L15 - D1 - Z96 - IRD-IT1-L06-SIC-01 COMMS CUPBOARD - OPT,IRD-IT1-L06-SIC-01
2,15,96,IRD-IT1-L06-SEL-02 ELEC CUPBOARD,x02,OPT,L15 - D2 - Z96 - IRD-IT1-L06-SEL-02 ELEC CUPBOARD - OPT,IRD-IT1-L06-SEL-02
3,15,96,IRD-IT1-L06-SEL-01 ELEC CUPBOARD,x02,OPT,L15 - D3 - Z96 - IRD-IT1-L06-SEL-01 ELEC CUPBOARD - OPT,IRD-IT1-L06-SEL-01
4,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D4 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
5,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D5 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
6,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D6 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
7,15,96,IRD-ICG-L06-BGK-02 BOH KITCHEN,x02,OPT,L15 - D7 - Z96 - IRD-ICG-L06-BGK-02 BOH KITCHEN - OPT,IRD-ICG-L06-BGK-02
8,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D8 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
9,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D9 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
10,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D10 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
11,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D11 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
12,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D12 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
13,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D13 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
14,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D14 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
15,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D15 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
16,15,96,IRD-IT1-L06-SFS-01 FIRE CUPBOARD,x02,OPT,L15 - D16 - Z96 - IRD-IT1-L06-SFS-01 FIRE CUPBOARD - OPT,IRD-IT1-L06-SFS-01
17,15,96,IRD-IT1-L06-SEL-03 ELEC CUPBOARD,x02,OPT,L15 - D17 - Z96 - IRD-IT1-L06-SEL-03 ELEC CUPBOARD - OPT,IRD-IT1-L06-SEL-03
18,15,96,IRD-ICG-L06-FSM-01 CONFERENCE CEN,x02,OPT,L15 - D18 - Z96 - IRD-ICG-L06-FSM-01 CONFERENCE CEN - OPT,IRD-ICG-L06-FSM-01
19,15,97,IRD-ICG-L06-FSE-01 TOLIET AIRLOCK,x02,OPT,L15 - D19 - Z97 - IRD-ICG-L06-FSE-01 TOLIET AIRLOCK - OPT,IRD-ICG-L06-FSE-01
20,15,97,IRD-ICG-L06-FSE-01 TOLIET AIRLOCK,x02,OPT,L15 - D20 - Z97 - IRD-ICG-L06-FSE-01 TOLIET AIRLOCK - OPT,IRD-ICG-L06-FSE-01
21,15,97,IRD-ICG-L06-FSE-01 CORRIDOR,x02,OPT,L15 - D21 - Z97 - IRD-ICG-L06-FSE-01 CORRIDOR - OPT,IRD-ICG-L06-FSE-01
22,15,98,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D22 - Z98 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
23,15,98,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D23 - Z98 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
24,15,98,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D24 - Z98 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
25,15,98,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D25 - Z98 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
26,15,98,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D26 - Z98 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
27,15,98,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D27 - Z98 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
28,15,98,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D28 - Z98 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
29,15,98,IRD-ICG-L06-CGP-01 ATRIUM LOBBY,w08,SOUND,L15 - D29 - Z98 - IRD-ICG-L06-CGP-01 ATRIUM LOBBY - SOUND,IRD-ICG-L06-CGP-01
30,15,98,IRD-ICG-L06-CGP-01 ATRIUM LOBBY,x02,OPT,L15 - D30 - Z98 - IRD-ICG-L06-CGP-01 ATRIUM LOBBY - OPT,IRD-ICG-L06-CGP-01
31,15,98,IRD-ICG-L06-CGP-01 ATRIUM LOBBY,x02,OPT,L15 - D31 - Z98 - IRD-ICG-L06-CGP-01 ATRIUM LOBBY - OPT,IRD-ICG-L06-CGP-01
32,15,98,IRD-ICG-L06-CGP-01 ATRIUM LOBBY,w08,SOUND,L15 - D32 - Z98 - IRD-ICG-L06-CGP-01 ATRIUM LOBBY - SOUND,IRD-ICG-L06-CGP-01
33,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D33 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
34,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D34 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
35,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D35 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
36,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D36 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
37,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D37 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
38,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D38 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
39,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D39 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
40,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D40 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
41,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D41 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
42,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D42 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
43,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D43 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
44,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D44 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
45,15,98,IRD-ICG-L06-CGP-01 ATRIUM LOBBY,x02,OPT,L15 - D45 - Z98 - IRD-ICG-L06-CGP-01 ATRIUM LOBBY - OPT,IRD-ICG-L06-CGP-01
46,15,112,IRD-IT1-L06M-SEL-01 ELEC CUPBOARD,x02,OPT,L15 - D46 - Z112 - IRD-IT1-L06M-SEL-01 ELEC CUPBOARD - OPT,IRD-IT1-L06M-SEL-01
47,15,112,IRD-IT1-L06M-SEL-02 ELEC CUPBOARD,x02,OPT,L15 - D47 - Z112 - IRD-IT1-L06M-SEL-02 ELEC CUPBOARD - OPT,IRD-IT1-L06M-SEL-02
48,15,112,IRD-IT1-L06M-PME-01 MECH PLANT RM,x02,OPT,L15 - D48 - Z112 - IRD-IT1-L06M-PME-01 MECH PLANT RM - OPT,IRD-IT1-L06M-PME-01
49,15,112,IRD-IT1-L06M-SIC-01 COMM CUPBOARD,x02,OPT,L15 - D49 - Z112 - IRD-IT1-L06M-SIC-01 COMM CUPBOARD - OPT,IRD-IT1-L06M-SIC-01
50,15,112,IRD-IT1-L06M-PME-01 MECH PLANT RM,x02,OPT,L15 - D50 - Z112 - IRD-IT1-L06M-PME-01 MECH PLANT RM - OPT,IRD-IT1-L06M-PME-01
51,15,112,IRD-IT1-L06M-PME-01 MECH PLANT RM,x02,OPT,L15 - D51 - Z112 - IRD-IT1-L06M-PME-01 MECH PLANT RM - OPT,IRD-IT1-L06M-PME-01
52,15,112,IRD-IT1-L06M-SEL-03 ELEC CUPBOARD,x02,OPT,L15 - D52 - Z112 - IRD-IT1-L06M-SEL-03 ELEC CUPBOARD - OPT,IRD-IT1-L06M-SEL-03
53,15,112,IRD-IT1-L06M-SFS-03 FIRECUPBOARD,x02,OPT,L15 - D53 - Z112 - IRD-IT1-L06M-SFS-03 FIRECUPBOARD - OPT,IRD-IT1-L06M-SFS-03
54,15,113,IRD-ICG-L06M-CGP-01 ATRIUM LOBBY,w08,SOUND,L15 - D54 - Z113 - IRD-ICG-L06M-CGP-01 ATRIUM LOBBY - SOUND,IRD-ICG-L06M-CGP-01
55,15,113,IRD-ICG-L06M-CGP-01 ATRIUM LOBBY,x02,OPT,L15 - D55 - Z113 - IRD-ICG-L06M-CGP-01 ATRIUM LOBBY - OPT,IRD-ICG-L06M-CGP-01
56,15,113,IRD-ICG-L06M-CGP-01 ATRIUM LOBBY,w08,SOUND,L15 - D56 - Z113 - IRD-ICG-L06M-CGP-01 ATRIUM LOBBY - SOUND,IRD-ICG-L06M-CGP-01
57,15,3401,IRD-IT1-L06-SIC-01 SECURITY TRIP,a03,SEC,L15 - D57 - Z3401 - IRD-IT1-L06-SIC-01 SECURITY TRIP - SEC,IRD-IT1-L06-SIC-01
58,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D58 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
59,15,97,IRD-ICG-L06-FSE-01 PRE FUNCTION,x02,OPT,L15 - D59 - Z97 - IRD-ICG-L06-FSE-01 PRE FUNCTION - OPT,IRD-ICG-L06-FSE-01
60,15,113,IRD-ICG-L06M-CGP-01 ATRIUM LOBBY,x02,OPT,L15 - D60 - Z113 - IRD-ICG-L06M-CGP-01 ATRIUM LOBBY - OPT,IRD-ICG-L06M-CGP-01
61,15,113,IRD-ICG-L06M-CGP-01 ATRIUM LOBBY,x02,OPT,L15 - D61 - Z113 - IRD-ICG-L06M-CGP-01 ATRIUM LOBBY - OPT,IRD-ICG-L06M-CGP-01
70,15,121,IRD-ICG-L07-CGP-01 ATRIUM LOBBY,w08,SOUND,L15 - D70 - Z121 - IRD-ICG-L07-CGP-01 ATRIUM LOBBY - SOUND,IRD-ICG-L07-CGP-01
71,15,121,IRD-ICG-L07-CGP-01 ATRIUM LOBBY,w08,SOUND,L15 - D71 - Z121 - IRD-ICG-L07-CGP-01 ATRIUM LOBBY - SOUND,IRD-ICG-L07-CGP-01
72,15,121,IRD-ICG-L07-CGP-01 ATRIUM LOBBY,x02,OPT,L15 - D72 - Z121 - IRD-ICG-L07-CGP-01 ATRIUM LOBBY - OPT,IRD-ICG-L07-CGP-01
73,15,121,IRD-ICG-L07-CGP-01 ATRIUM LOBBY,x02,OPT,L15 - D73 - Z121 - IRD-ICG-L07-CGP-01 ATRIUM LOBBY - OPT,IRD-ICG-L07-CGP-01
93,15,904,TOWER 1-4 TOP OF LIFT P6-7-8,x02,OPT,L15 - D93 - Z904 - TOWER 1-4 TOP OF LIFT P6-7-8 - OPT,
1,16,101,IRD-IT2-L06-SFS-01 FIRE CUPBOARD,x02,OPT,L16 - D1 - Z101 - IRD-IT2-L06-SFS-01 FIRE CUPBOARD - OPT,IRD-IT2-L06-SFS-01
2,16,101,IRD-ICG-L06-CSV-214 CORRIDOR,x02,OPT,L16 - D2 - Z101 - IRD-ICG-L06-CSV-214 CORRIDOR - OPT,IRD-ICG-L06-CSV-214
3,16,101,IRD-ICG-L06-CSV-214 CORRIDOR,x02,OPT,L16 - D3 - Z101 - IRD-ICG-L06-CSV-214 CORRIDOR - OPT,IRD-ICG-L06-CSV-214
4,16,101,IRD-IT2-L06-SEL-03 ELEC CUPBOARD,x02,OPT,L16 - D4 - Z101 - IRD-IT2-L06-SEL-03 ELEC CUPBOARD - OPT,IRD-IT2-L06-SEL-03
5,16,101,IRD-IT2-L06-SEL-03 ELEC CUPBOARD,x02,OPT,L16 - D5 - Z101 - IRD-IT2-L06-SEL-03 ELEC CUPBOARD - OPT,IRD-IT2-L06-SEL-03
6,16,101,IRD-ICG-L06-CSV-214 CORRIDOR,x02,OPT,L16 - D6 - Z101 - IRD-ICG-L06-CSV-214 CORRIDOR - OPT,IRD-ICG-L06-CSV-214
7,16,101,IRD-IT2-L06-SEL-03 ELEC CUPBOARD,x02,OPT,L16 - D7 - Z101 - IRD-IT2-L06-SEL-03 ELEC CUPBOARD - OPT,IRD-IT2-L06-SEL-03
8,16,99,IRD-ICG-L06-FCF-228 LIFT LOBBY,x02,OPT,L16 - D8 - Z99 - IRD-ICG-L06-FCF-228 LIFT LOBBY - OPT,IRD-ICG-L06-FCF-228
9,16,99,IRD-ICG-L06-FCF-228 LIFT LOBBY,x02,OPT,L16 - D9 - Z99 - IRD-ICG-L06-FCF-228 LIFT LOBBY - OPT,IRD-ICG-L06-FCF-228
10,16,101,IRD-ICG-L06-SIC-07 COMMS CUPBOARD,x02,OPT,L16 - D10 - Z101 - IRD-ICG-L06-SIC-07 COMMS CUPBOARD - OPT,IRD-ICG-L06-SIC-07
11,16,101,IRD-ICG-L06-CSV-122 CORRIDOR,x02,OPT,L16 - D11 - Z101 - IRD-ICG-L06-CSV-122 CORRIDOR - OPT,IRD-ICG-L06-CSV-122
12,16,101,IRD-ICG-L06-SEL-17 ELEC CUPBOARD,x02,OPT,L16 - D12 - Z101 - IRD-ICG-L06-SEL-17 ELEC CUPBOARD - OPT,IRD-ICG-L06-SEL-17
13,16,101,IRD-ICG-L06-CSV-122 CORRIDOR,x02,OPT,L16 - D13 - Z101 - IRD-ICG-L06-CSV-122 CORRIDOR - OPT,IRD-ICG-L06-CSV-122
14,16,101,IRD-ICG-L06-CSV-122 CORRI AIRLOCK,x02,OPT,L16 - D14 - Z101 - IRD-ICG-L06-CSV-122 CORRI AIRLOCK - OPT,IRD-ICG-L06-CSV-122
15,16,101,IRD-ICG-L06-FCG-206 CARD + CHIP,x02,OPT,L16 - D15 - Z101 - IRD-ICG-L06-FCG-206 CARD + CHIP - OPT,IRD-ICG-L06-FCG-206
16,16,101,IRD-ICG-L06-CSV-214 CORRIDOR,x02,OPT,L16 - D16 - Z101 - IRD-ICG-L06-CSV-214 CORRIDOR - OPT,IRD-ICG-L06-CSV-214
17,16,103,IRD-ICG-L06-CSV-213 CORRIDOR,x02,OPT,L16 - D17 - Z103 - IRD-ICG-L06-CSV-213 CORRIDOR - OPT,IRD-ICG-L06-CSV-213
18,16,103,IRD-ICG-L06-FCF-152 BOH KITCHEN,x02,OPT,L16 - D18 - Z103 - IRD-ICG-L06-FCF-152 BOH KITCHEN - OPT,IRD-ICG-L06-FCF-152
19,16,103,IRD-ICG-L06-FCG-670 CORRIDOR,x02,OPT,L16 - D19 - Z103 - IRD-ICG-L06-FCG-670 CORRIDOR - OPT,IRD-ICG-L06-FCG-670
20,16,103,IRD-ICG-L06-FCG-670 CORRIDOR,x02,OPT,L16 - D20 - Z103 - IRD-ICG-L06-FCG-670 CORRIDOR - OPT,IRD-ICG-L06-FCG-670
21,16,104,IRD-ICG-L06-AMG-211 AMENITIES,x02,OPT,L16 - D21 - Z104 - IRD-ICG-L06-AMG-211 AMENITIES - OPT,IRD-ICG-L06-AMG-211
22,16,104,IRD-ICG-L06-AMG-125 FEMALE TOLIET,x02,OPT,L16 - D22 - Z104 - IRD-ICG-L06-AMG-125 FEMALE TOLIET - OPT,IRD-ICG-L06-AMG-125
