zone,description,raw
111,TOWER 4 LEVEL 06 BALLROOM,Z 1 Z 1
112,TOWER 1 LEVEL 06M,Z 1 Z 1
113,ATRIUM LEVEL 06M,Z 1 Z 1
114,TOWER 4 LEVEL 06M,Z 1 Z 1
115,TOWER 4 LEVEL 06M,Z 1 Z 1
116,TOWER 1 LEVEL 07 NORTH,Z 1 Z 1
117,TOWER 1 LEVEL 07 SOUTH,Z 1 Z 1
118,TOWER 2 LEVEL 07,Z 1 Z 1
119,TOWER 3 LEVEL 07,Z 1 Z 1
120,TOWER 4 LEVEL 07,Z 1 Z 1
121,TOWER 1-4 ATRIUM LEVEL 07,Z 1 Z 1
122,TOWER 1 LEVEL 07M NORTH,Z 1 Z 1
123,TOWER 1 LEVEL 07M SOUTH,Z 1 Z 1
124,TOWER 2 LEVEL 07M,Z 1 Z 1
125,TOWER 3 LEVEL 07M,Z 1 Z 1
126,TOWER 4 LEVEL 07M,Z 1 Z 1
127,TOWER 2-3 GYM LEVEL 07,Z 1 Z 1
130,TOWER 1 LEVEL 08 NORTH,Z 1 Z 1
131,TOWER 1 LEVEL 08 SOUTH,Z 1 Z 1
132,TOWER 1 LEVEL 09 NORTH,Z 1 Z 1
133,TOWER 1 LEVEL 09 SOUTH,Z 1 Z 1
134,TOWER 1 LEVEL 10 NORTH,Z 1 Z 1
135,TOWER 1 LEVEL 10 SOUTH,Z 1 Z 1
136,TOWER 1 LEVEL 11 NORTH,Z 1 Z 1
137,TOWER 1 LEVEL 11 SOUTH,Z 1 Z 1
138,TOWER 1 LEVEL 12 NORTH,Z 1 Z 1
139,TOWER 1 LEVEL 12 SOUTH,Z 1 Z 1
140,TOWER 1 LEVEL 13 NORTH,Z 1 Z 1
141,TOWER 1 LEVEL 13 SOUTH,Z 1 Z 1
142,TOWER 1 LEVEL 14 NORTH,Z 1 Z 1
143,TOWER 1 LEVEL 14 SOUTH,Z 1 Z 1
144,TOWER 1 LEVEL 15 NORTH,Z 1 Z 1
145,TOWER 1 LEVEL 15 SOUTH,Z 1 Z 1
146,TOWER 1 LEVEL 16 NORTH,Z 1 Z 1
147,TOWER 1 LEVEL 16 SOUTH,Z 1 Z 1
148,TOWER 1 LEVEL 17 NORTH,Z 1 Z 1
149,TOWER 1 LEVEL 17 SOUTH,Z 1 Z 1
150,TOWER 1 LEVEL 18 NORTH,Z 1 Z 1
151,TOWER 1 LEVEL 18 SOUTH,Z 1 Z 1
152,TOWER 1 LEVEL 19 NORTH,Z 1 Z 1
153,TOWER 1 LEVEL 19 SOUTH,Z 1 Z 1
154,TOWER 1 LEVEL 20 NORTH,Z 1 Z 1
155,TOWER 1 LEVEL 20 SOUTH,Z 1 Z 1
156,TOWER 1 LEVEL 21 NORTH,Z 1 Z 1
157,TOWER 1 LEVEL 21 SOUTH,Z 1 Z 1
158,TOWER 1 LEVEL 22 NORTH,Z 1 Z 1
159,TOWER 1 LEVEL 22 SOUTH,Z 1 Z 1
160,TOWER 1 LEVEL 23 NORTH,Z 1 Z 1
161,TOWER 1 LEVEL 23 SOUTH,Z 1 Z 1
162,TOWER 1 LEVEL 24 NORTH,Z 1 Z 1
163,TOWER 1 LEVEL 24 SOUTH,Z 1 Z 1
164,TOWER 1 LEVEL 25 NORTH,Z 1 Z 1
165,TOWER 1 LEVEL 25 SOUTH,Z 1 Z 1
166,TOWER 1 LEVEL 26 NORTH,Z 1 Z 1
167,TOWER 1 LEVEL 26 SOUTH,Z 1 Z 1
168,TOWER 1 LEVEL 27 NORTH,Z 1 Z 1
169,TOWER 1 LEVEL 27 SOUTH,Z 1 Z 1
170,TOWER 1 LEVEL 28 NORTH,Z 1 Z 1
171,TOWER 1 LEVEL 28 SOUTH,Z 1 Z 1
172,TOWER 1 LEVEL 29 NORTH,Z 1 Z 1
173,TOWER 1 LEVEL 29 SOUTH,Z 1 Z 1
174,TOWER 1 LEVEL 30 NORTH,Z 1 Z 1
175,TOWER 1 LEVEL 30 SOUTH,Z 1 Z 1
176,TOWER 1 LEVEL 31 NORTH,Z 1 Z 1
177,TOWER 1 LEVEL 31 SOUTH,Z 1 Z 1
178,TOWER 1 LEVEL 32 NORTH,Z 1 Z 1
179,TOWER 1 LEVEL 32 SOUTH,Z 1 Z 1
180,TOWER 1 LEVEL 33 NORTH,Z 1 Z 1
181,TOWER 1 LEVEL 33 SOUTH,Z 1 Z 1
182,TOWER 1 LEVEL 34 NORTH,Z 1 Z 1
183,TOWER 1 LEVEL 34 SOUTH,Z 1 Z 1
184,TOWER 1 LEVEL 35 NORTH,Z 1 Z 1
185,TOWER 1 LEVEL 35 SOUTH,Z 1 Z 1
186,TOWER 1 LEVEL 36 NORTH,Z 1 Z 1
187,TOWER 1 LEVEL 36 SOUTH,Z 1 Z 1
188,TOWER 1 LEVEL 37 NORTH,Z 1 Z 1
189,TOWER 1 LEVEL 37 SOUTH,Z 1 Z 1
190,TOWER 1 LEVEL 38 NORTH,Z 1 Z 1
191,TOWER 1 LEVEL 38 SOUTH,Z 1 Z 1
192,TOWER 1 LEVEL 39 NORTH,Z 1 Z 1
193,TOWER 1 LEVEL 39 SOUTH,Z 1 Z 1
194,TOWER 1 LEVEL 40 NORTH,Z 1 Z 1
195,TOWER 1 LEVEL 40 SOUTH,Z 1 Z 1
