device,loop,zone,description,subtype,type,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
35,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
36,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
37,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
38,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
39,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
40,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
41,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
42,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
43,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
44,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
45,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
46,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
47,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
48,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
49,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
50,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
51,1,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
