loop,device,zone,description,subtype,type,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,35,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,36,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,37,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,38,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,39,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,40,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,41,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,42,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,43,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,44,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,45,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,46,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,47,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,48,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,49,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,50,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,51,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,52,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,53,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,54,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,55,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,56,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
